inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数,class
67079,597,37930,2023-08-23 19:52:04,2023-09-1610:00:50,,0,10
52886,805,30474,2021-03-01 21:30:43,2021-05-2019:36:46,2021-03-3114:10:30,1,8
71783,463,41055,2022-03-06 17:36:49,2022-03-0821:54:16,,0,12
33631,714,21094,2024-02-28 12:00:38,2024-03-2410:42:09,,0,7
17853,1331,10292,2024-10-05 15:59:19,2024-10-0619:04:39,,0,3
101525,1285,57555,2022-06-16 12:46:39,2022-08-2409:58:00,,0,18
21998,41,13043,2021-08-10 15:47:09,2021-11-2919:08:38,2021-11-0820:10:44,2,3
61586,1269,34211,2021-08-29 18:06:27,2021-10-2216:14:41,2021-10-1320:44:45,1,9
52510,340,30440,2021-04-02 19:32:40,2021-07-0721:52:50,2021-05-3119:15:00,2,8
769,1319,455,2020-11-14 14:57:51,2021-01-1412:35:23,2020-12-0917:51:30,1,1
36750,378,23171,2022-05-15 17:07:16,2022-08-1512:24:23,2022-06-0522:19:30,1,8
16739,1379,9788,2022-11-19 21:34:27,2022-12-1216:15:57,,0,3
31433,322,19509,2022-10-18 21:51:25,2022-12-1214:21:47,2022-11-1723:37:13,1,7
75591,318,42598,2021-10-20 18:39:23,2022-02-2612:47:02,2021-12-1715:11:11,2,13
39204,90,24451,2021-04-13 12:59:22,2021-04-1416:48:59,,0,8
68658,71,38934,2021-07-21 09:05:38,2021-10-1413:45:26,,0,10
2739,645,1603,2023-12-25 21:03:46,2023-12-2721:56:39,,0,1
61837,365,34359,2024-04-15 15:02:40,2024-04-1521:14:54,,0,9
34030,72,21376,2021-06-01 16:06:02,2021-06-0815:16:15,2024-09-2009:34:35,0,8
37221,75,23410,2022-04-10 16:21:17,2022-06-2414:24:20,2022-05-3109:18:55,2,8
98872,476,55635,2023-10-16 20:45:25,2023-11-1509:16:19,,0,18
24331,387,14353,2022-08-30 21:55:36,2022-10-3113:25:54,2022-09-2920:51:54,1,5
100242,1066,56661,2022-09-12 10:59:28,2022-12-1017:42:24,2022-11-0910:16:08,2,18
12747,844,7219,2020-10-20 16:54:37,2021-01-1614:28:25,2020-12-1302:13:45,2,2
18309,858,10666,2020-09-04 14:54:39,2020-12-1619:53:46,2020-11-0221:56:22,2,3
18164,934,10582,2021-03-16 08:57:49,2021-04-2618:06:00,2021-04-0815:42:35,1,3
19235,1006,11282,2023-12-20 16:37:08,2024-01-1312:09:06,,0,3
20400,549,12014,2024-05-23 15:27:52,2024-05-2318:39:00,,0,3
16492,6,9646,2022-03-27 21:53:10,2022-05-1212:48:09,2024-05-1513:42:27,0,3
27024,37,16408,2021-06-07 16:43:40,2021-06-2713:06:47,2021-06-1721:36:59,0,5
94882,669,53304,2023-08-24 13:01:17,2023-09-1917:34:42,,0,18
5081,699,2800,2024-03-09 20:56:53,2024-04-1809:09:33,2024-04-0411:16:38,1,1
71713,1114,41003,2024-11-08 11:06:49,2024-12-0521:15:34,,0,12
93914,634,52678,2024-12-07 19:20:19,,,0,18
61699,302,34276,2021-04-28 14:50:48,2021-07-0514:07:03,2021-05-2623:08:42,1,9
65377,357,36836,2023-05-19 17:39:27,2023-06-1414:15:26,,0,9
24552,281,14537,2023-03-23 10:26:26,2023-04-0209:14:31,2023-06-2211:05:37,0,5
89773,159,50341,2021-11-29 19:37:27,2021-12-1910:45:13,2021-06-2609:26:24,0,18
13883,6,7932,2021-12-03 15:31:04,2022-01-0513:35:14,,0,3
70634,960,40210,2022-04-09 14:00:38,2022-04-2313:54:20,,0,10
97044,1179,54473,2023-10-09 10:15:35,2023-10-3116:54:23,,0,18
38760,453,24269,2024-08-06 18:36:52,2024-11-0409:48:06,2024-09-2713:40:23,2,8
16884,1299,9746,2022-03-30 10:32:57,2022-04-0722:56:31,,0,3
5464,1094,3022,2024-11-20 17:27:55,,2024-12-1813:39:30,1,1
21395,1331,12662,2022-08-21 08:31:16,2022-09-1918:50:49,,0,3
73431,674,41777,2024-06-21 16:27:36,2024-10-0514:32:25,2024-09-2313:29:37,2,13
37225,96,23410,2022-10-23 20:11:57,2022-12-1220:28:05,2022-11-2023:19:23,1,8
24411,1085,14470,2023-03-21 19:05:22,2023-04-1709:45:14,,0,5
53924,307,30873,2022-02-15 11:35:43,2022-03-1318:12:59,2022-03-1308:20:54,1,8
26242,209,15765,2020-11-06 17:11:40,2020-11-0617:13:06,,0,5
90142,1025,50632,2023-09-27 20:02:22,2024-03-0812:55:02,2023-11-2110:09:18,2,18
44981,80,26994,2021-03-28 17:24:20,2021-04-0615:38:08,2023-12-2120:59:31,0,8
43177,1329,24671,2023-08-21 19:32:19,2023-08-2318:18:08,,0,8
17024,1331,9731,2023-12-17 16:16:18,2023-12-1821:44:42,,0,3
83941,260,46968,2021-04-16 20:10:18,2021-07-2317:08:31,2021-06-1516:30:22,2,16
633,658,363,2023-08-27 17:29:46,2023-11-0120:02:34,2023-10-2422:19:52,2,1
24297,405,14389,2021-01-16 18:53:51,2021-03-0215:37:35,,0,5
64186,416,35946,2022-05-10 18:23:08,2022-05-1121:20:05,,0,9
32186,308,20085,2021-08-08 16:36:26,2021-08-2712:17:23,,0,7
82371,455,45847,2024-07-23 09:57:04,2024-08-2517:00:26,2024-08-1316:05:03,1,13
52622,365,30487,2024-05-24 21:09:14,2024-05-2421:11:19,,0,8
94065,82,52785,2020-09-09 08:14:02,2020-12-0418:20:00,2020-11-0212:46:34,2,18
98305,521,55122,2023-04-07 08:58:45,,2024-02-2122:43:48,2,18
75853,617,42740,2024-06-08 19:16:33,2024-06-2611:37:40,,0,13
37058,960,23287,2022-03-01 17:07:00,2022-04-0914:00:06,2022-05-0200:23:34,1,8
102411,201,58193,2022-08-11 08:34:52,2023-03-0313:50:49,,0,21
1701,260,958,2021-06-25 19:02:48,2021-07-2612:24:04,,0,1
8211,121,4589,2022-04-10 11:58:10,2022-04-1215:51:08,,0,1
7243,598,3929,2024-02-26 19:29:58,2024-04-1720:14:43,,0,1
79654,1020,44479,2023-10-14 15:08:03,2023-12-0210:00:33,2023-11-0911:31:19,1,13
82732,1103,46062,2023-09-13 18:34:48,2023-09-1515:06:00,,0,13
83388,1300,46534,2023-10-25 20:27:18,2023-11-2708:01:05,,0,15
90169,1043,50645,2024-09-19 15:22:17,2024-11-2309:12:54,2024-11-1120:32:10,2,18
80047,182,44678,2020-12-19 15:02:24,2021-04-1814:25:03,2021-03-1023:00:20,2,13
85391,1310,47922,2021-09-22 18:45:03,2021-12-0708:42:40,2022-02-1710:13:40,2,18
36927,537,23241,2021-11-19 17:41:31,2021-12-0318:37:57,,0,8
75153,379,42503,2020-10-17 17:24:11,2020-11-1421:33:28,2020-11-1117:27:27,1,13
22173,321,13155,2020-09-22 18:48:43,2020-10-2015:27:20,,0,4
64725,416,36355,2021-08-14 18:30:07,2021-08-1418:30:59,,0,9
6236,1134,3477,2024-05-20 15:00:08,2024-06-1218:13:42,,0,1
15314,1299,8866,2021-06-21 21:53:21,2021-06-2211:32:41,,0,3
68756,11,39015,2021-04-17 18:44:16,2021-05-0719:11:29,,0,10
77433,541,43318,2024-06-13 17:05:58,2024-06-2315:51:56,,0,13
50387,311,29606,2021-10-20 12:29:07,2021-12-1808:48:24,2021-11-1615:30:19,1,8
7630,311,4262,2023-02-15 18:52:55,2023-03-1814:39:55,,0,1
28460,113,17334,2021-12-22 15:50:22,2022-02-2520:36:22,2022-02-1521:59:25,1,6
37361,32,23492,2021-10-15 12:54:17,2021-10-1617:15:55,,0,8
57828,262,32523,2022-12-02 14:59:14,2023-02-2414:18:27,,0,8
98862,1361,55679,2023-09-05 16:48:58,2023-10-0911:55:36,,0,18
36330,954,22946,2022-05-26 19:31:28,2022-08-0908:20:52,,0,8
62705,1269,34857,2022-06-04 21:51:29,2022-06-0617:42:57,,0,9
17969,1413,10464,2023-12-25 18:15:07,2024-01-0915:33:51,,0,3
91235,451,51308,2024-12-22 16:51:29,,,0,18
87356,782,49098,2021-01-21 17:56:41,2021-01-2318:25:44,,0,18
68212,260,38628,2022-04-17 17:58:50,2022-05-1721:16:14,,0,10
34412,365,21606,2024-04-09 18:59:21,2024-04-0921:13:07,,0,8
100255,1361,56667,2024-01-02 09:45:51,2024-03-0114:18:43,,0,18
55032,1094,31395,2022-09-21 19:04:55,2022-11-1911:37:42,,0,8
23955,365,14211,2024-06-12 18:28:20,2024-06-1218:31:11,,0,5
10812,91,6163,2022-04-17 07:55:07,2022-05-2717:47:48,2022-05-1511:22:17,1,2
85941,1322,48311,2021-03-31 10:55:04,2021-04-1511:25:50,,0,18
40189,266,24382,2023-04-10 21:55:24,2023-06-1918:55:04,2023-05-0910:02:02,1,8
65640,792,37026,2020-01-12 17:27:14,2020-10-2712:50:08,2020-09-2401:16:04,2,9
89919,384,50517,2024-03-25 12:08:22,2024-06-1618:02:10,2024-05-1722:34:57,2,18
11701,954,6531,2020-10-14 13:02:58,2020-11-0109:04:30,,0,2
8530,958,4804,2021-04-01 21:20:44,2021-04-2517:10:00,,0,1
89762,159,50434,2022-07-28 14:38:25,2022-07-3117:56:27,,0,18
64710,1269,36344,2021-07-05 20:34:56,2021-07-1921:52:44,2022-02-1619:14:32,1,9
26238,209,15761,2020-11-06 17:14:08,2020-11-0617:14:37,,0,5
81367,91,45344,2020-12-08 10:33:04,2020-12-2109:06:45,,0,13
64397,440,36109,2022-06-05 17:16:53,2022-08-1112:17:06,2022-07-0210:11:42,1,9
93772,1352,52625,2022-09-20 12:17:24,2022-09-2211:20:21,2023-04-2509:37:14,1,18
63928,1329,35759,2021-01-08 13:50:11,2021-03-2413:42:57,,0,9
48901,537,28383,2024-07-24 19:10:48,2024-08-0918:39:25,,0,8
11021,337,6148,2021-05-03 21:50:02,2021-06-0109:31:28,,0,2
82635,107,46011,2022-04-26 16:37:49,2022-05-0508:37:16,,0,13
86684,1029,48723,2023-03-21 17:21:06,2023-05-2110:41:04,2023-04-1817:11:41,1,18
15005,786,8635,2020-10-30 09:56:48,2021-01-2215:21:25,2020-12-2509:11:10,2,3
71303,1013,40757,2022-01-09 13:20:30,2022-04-0214:52:32,2022-03-0219:50:38,2,11
90478,189,50796,2021-08-05 17:10:30,2022-01-0717:48:00,2021-12-1513:11:48,2,18
94600,445,53161,2022-05-06 21:58:01,2022-06-1522:32:13,,0,18
98475,1342,55257,2022-01-06 15:52:11,2022-02-2010:40:07,,0,18
32640,365,20411,2024-04-08 14:52:24,2024-04-0818:18:16,,0,7
77999,1152,43702,2024-03-07 10:07:48,2024-05-2316:03:14,2024-05-0513:29:25,1,13
24377,922,14444,2020-09-27 16:52:20,2020-12-2415:40:00,2020-11-2214:05:19,2,5
40324,311,24612,2021-10-18 09:42:51,2021-10-2919:38:31,,0,8
69322,726,39385,2024-11-22 18:58:22,,2024-12-1523:32:45,1,10
46368,1119,27948,2024-02-25 13:01:59,2024-05-2712:12:32,2024-04-2316:30:09,2,8
78248,474,43836,2024-09-07 17:56:16,2024-11-0612:51:55,2024-10-0612:55:42,1,13
65024,1225,36593,2024-07-04 17:15:27,2024-08-0811:32:18,,0,9
80068,1388,44678,2024-11-07 18:07:23,2024-12-1209:33:33,,0,13
54177,445,31170,2022-12-13 19:56:23,2023-02-1820:40:02,,0,8
90129,1025,50622,2023-09-27 20:03:05,2024-03-0812:54:54,2023-11-2110:08:31,2,18
40257,311,25103,2022-02-12 19:55:34,2022-05-1317:48:59,2022-10-1912:18:42,1,8
69906,1358,39621,2023-06-25 19:22:10,2023-09-1821:34:13,2023-07-2423:02:01,1,10
32270,654,20049,2023-03-30 17:22:05,2023-06-1514:52:52,2023-05-2211:23:10,2,7
18532,786,10806,2020-10-20 17:04:35,2021-01-1820:25:10,2020-12-1616:52:11,2,3
11068,402,6245,2020-10-17 09:38:22,2020-12-1617:38:54,2020-12-1419:45:17,2,2
102709,1085,58406,2024-03-14 09:01:06,2024-03-1421:43:35,,0,21
90249,1152,50440,2023-10-05 18:03:33,2023-12-0619:15:24,2023-10-3110:10:59,1,18
42021,536,25593,2024-11-12 21:38:07,2024-11-1318:43:46,,0,8
87178,1137,48982,2024-12-10 19:21:55,,,0,18
29991,1295,18376,2023-10-29 12:17:42,2023-11-2112:53:20,,0,6
93098,1178,52239,2024-06-07 21:55:33,2024-07-1708:08:44,,0,18
76452,1029,43011,2023-06-24 19:42:21,2023-09-0411:56:04,2023-08-2411:37:28,1,13
95591,1272,53640,2020-11-16 09:52:30,2020-12-1714:34:07,,0,18
30547,489,18888,2024-09-26 20:22:52,2024-11-0210:06:37,,0,7
97072,838,54569,2020-09-23 19:06:05,2020-11-1913:49:34,2020-10-2209:00:48,1,18
78887,1158,44124,2024-04-25 17:47:00,2024-06-0116:47:14,,0,13
84033,943,47039,2023-05-26 08:10:03,2023-06-0521:36:19,,0,16
23526,1067,13902,2023-11-22 19:22:54,2024-02-1820:07:45,2023-12-2110:58:29,1,5
82010,1029,45630,2024-04-19 17:16:05,2024-08-2119:18:18,2024-06-1814:15:53,2,13
21759,862,12880,2020-10-25 11:59:24,2020-10-2514:58:02,,0,3
40857,380,24570,2020-10-07 18:57:04,2020-12-0620:54:20,2020-11-0607:06:33,1,8
31805,52,19787,2021-04-28 21:53:31,2021-04-3021:33:40,,0,7
53827,262,31040,2021-01-20 14:31:47,2021-03-2315:28:45,2021-03-1923:30:32,1,8
13060,458,7429,2023-06-17 18:05:23,2023-06-1915:07:39,,0,2
12248,877,6679,2021-07-24 21:01:20,2021-10-2418:30:20,,0,2
79848,1310,44568,2020-08-04 14:45:34,2020-11-0312:25:15,2020-09-2521:18:39,2,13
101174,823,57273,2020-10-22 21:27:36,2020-12-0908:53:01,2020-11-1416:18:22,1,18
12356,402,6944,2022-03-12 21:55:55,2022-04-1018:41:12,,0,2
83068,360,46305,2021-12-16 20:10:12,2022-03-1417:18:08,2022-02-1516:25:12,1,14
82574,929,45956,2020-09-11 11:07:19,2020-11-1116:12:46,2020-10-1022:40:28,1,13
93028,1353,52170,2023-02-21 19:22:23,2023-03-3016:40:09,2023-03-2020:22:00,1,18
84591,1231,47387,2023-12-19 17:42:58,2024-01-1315:16:03,,0,18
10898,767,6215,2020-01-05 16:39:43,2020-09-2915:53:41,,0,2
40766,360,24434,2021-07-09 17:19:08,2021-07-1511:36:23,,0,8
44909,1346,26943,2022-03-14 18:55:53,2022-04-0508:56:14,,0,8
23143,575,13702,2024-06-17 18:16:31,2024-06-1812:33:50,,0,5
47276,176,28477,2020-08-27 19:28:15,2020-11-3008:59:34,2020-10-2614:15:30,2,8
16883,1299,9871,2022-03-30 10:32:46,2022-04-0822:57:00,,0,3
15243,1331,8810,2022-03-04 08:31:04,2022-03-1221:30:34,,0,3
102826,944,58500,2020-11-11 16:11:09,2020-11-1421:19:20,,0,22
24917,281,14832,2022-12-09 16:40:14,2022-12-0917:04:07,2023-10-2710:09:05,0,5
69370,726,39420,2024-09-21 21:48:08,2024-10-1813:45:00,,0,10
34031,72,21401,2021-10-11 15:45:19,2021-10-1221:49:55,2022-07-0610:03:18,0,8
41092,463,25039,2022-06-26 12:05:37,2022-08-1408:15:22,,0,8
78186,1265,43807,2020-11-03 14:40:51,2021-01-1619:07:44,2020-12-2511:06:10,2,13
40011,141,25004,2022-11-02 16:50:24,2022-11-2411:16:48,2024-12-1712:44:51,0,8
74673,68,42376,2021-07-07 16:33:11,2021-08-1107:28:13,2022-02-1821:17:41,0,13
86368,898,48563,2021-06-17 11:18:48,2021-11-1808:37:07,2021-10-1110:17:50,2,18
54082,399,30687,2023-08-19 17:20:06,2023-09-1716:26:09,,0,8
52540,1039,30449,2023-11-03 08:30:41,2023-11-2218:47:49,,0,8
41214,502,25383,2022-10-14 09:12:22,2022-10-1609:09:09,,0,8
36257,1021,22318,2023-09-09 17:36:59,2023-09-1212:36:57,,0,8
95582,838,53636,2022-02-28 17:40:45,2022-02-2817:40:56,,0,18
85564,806,48052,2020-12-27 17:42:23,2021-04-1918:56:05,2021-03-1620:23:14,2,18
11501,1377,6498,2023-05-20 21:24:03,2023-06-2012:45:20,,0,2
15127,786,8722,2021-03-26 19:34:05,2021-05-2018:21:44,2021-04-1916:32:56,1,3
85130,161,47746,2020-12-06 18:01:02,2021-01-0418:26:38,,0,18
8033,943,4383,2022-06-21 19:33:42,2022-06-2817:10:44,,0,1
81328,518,45317,2024-03-09 21:35:16,2024-03-1021:36:35,,0,13
78589,194,43939,2022-05-13 16:01:19,2022-06-2911:08:33,2022-06-1007:21:38,1,13
57889,307,32567,2024-03-20 12:21:52,2024-03-2316:41:28,,0,8
81650,211,45489,2021-11-08 17:05:03,2022-01-0709:29:29,2021-12-0619:05:27,1,13
15252,1331,8727,2021-08-10 16:12:39,2021-08-2820:17:52,,0,3
29581,1299,18138,2022-09-24 15:13:14,2022-10-2210:49:52,,0,6
9387,1285,5355,2020-11-27 14:53:55,2021-04-1909:24:34,2021-03-1210:44:43,2,1
92132,1399,51763,2024-12-23 15:45:53,,,0,18
85926,1137,48301,2024-08-26 11:22:38,2024-10-2913:12:26,2024-09-1814:50:00,1,18
32647,365,20418,2024-04-17 18:37:05,2024-04-1720:14:09,,0,7
39107,64,24360,2021-04-15 15:59:45,2021-05-2019:21:42,2021-05-0716:45:46,1,8
83596,1078,46701,2022-09-01 11:30:12,2022-09-2308:49:46,,0,16
50404,489,29610,2022-12-11 13:41:13,2023-03-2814:48:54,2023-02-2519:32:06,1,8
98954,1266,55587,2020-12-05 18:12:50,2020-12-1119:06:24,,0,18
57532,767,32387,2020-01-05 16:40:00,2020-09-2915:54:08,,0,8
65285,1223,36775,2024-11-07 16:53:13,,2024-12-0511:06:24,1,9
53494,365,30678,2024-04-09 18:58:52,2024-04-0921:13:58,,0,8
46262,1004,27886,2023-02-27 18:19:12,2023-04-2517:50:47,,0,8
99027,365,55780,2024-04-13 13:14:03,2024-04-1315:09:19,,0,18
3694,680,2120,2024-01-11 11:43:48,2024-01-1411:10:26,,0,1
17190,1331,10010,2023-11-23 17:06:26,2023-11-2517:35:32,,0,3
40843,375,24534,2021-07-08 12:24:36,2021-07-0920:26:45,,0,8
93543,420,52519,2021-11-06 18:47:35,2022-02-1313:13:06,2021-12-3116:31:49,2,18
87357,782,49099,2021-01-21 17:56:35,2021-05-2709:23:16,2021-04-1809:05:43,2,18
223,465,69,2023-03-05 21:14:39,2023-03-1622:00:25,,0,0
57925,316,32586,2023-05-16 12:12:33,2023-05-1721:43:55,,0,8
2025,536,1194,2024-03-24 09:20:22,2024-03-2417:26:48,,0,1
69932,617,39718,2024-05-10 21:09:19,2024-06-2611:38:21,2024-06-0318:51:22,1,10
57062,1050,32097,2023-09-27 12:14:29,2023-11-2512:01:44,2023-10-2416:38:56,1,8
67606,850,38179,2021-01-09 19:27:19,2021-01-1109:12:50,2022-05-0421:51:34,1,10
25265,446,15083,2024-01-12 20:54:06,2024-05-0713:32:25,2024-03-1919:55:00,2,5
23055,113,13657,2021-01-06 09:24:41,2021-03-0718:34:41,2022-10-0416:17:06,0,5
78486,767,43938,2021-04-13 11:08:49,2021-05-2516:53:57,2021-05-0614:55:04,1,13
31412,365,19500,2024-05-29 16:08:05,2024-05-2916:11:48,,0,7
54423,370,31202,2021-04-18 16:19:52,2021-04-2615:13:05,,0,8
25818,1332,15457,2020-09-28 21:39:04,2020-10-0909:43:05,,0,5
87896,159,49417,2022-01-08 08:58:45,2022-02-1319:55:56,2022-02-0523:07:32,1,18
22570,300,13446,2022-10-13 17:31:12,2022-12-1021:29:34,,0,5
45386,365,27326,2024-05-21 19:12:09,2024-05-2119:15:09,,0,8
23693,674,14028,2024-02-18 18:33:41,2024-05-1819:22:00,2024-04-1418:02:00,2,5
101268,336,57352,2023-02-14 15:25:57,2023-03-1520:54:00,,0,18
30684,1285,18895,2021-11-11 13:34:27,2022-02-1710:57:42,2022-01-0620:36:22,2,7
36682,32,23118,2020-10-26 15:56:03,2020-10-2711:32:02,,0,8
92270,1304,51683,2022-08-16 09:07:34,2022-11-1211:12:37,2024-12-2009:56:05,2,18
24527,58,14515,2021-05-19 08:44:39,2021-08-0608:26:15,2021-07-1309:38:24,2,5
46047,537,27194,2022-04-24 19:41:42,2022-06-0120:00:01,,0,8
19606,939,11450,2022-11-22 08:30:40,2023-03-0115:48:26,,0,3
67963,954,38432,2022-03-18 08:57:18,2022-04-1711:26:39,,0,10
35444,71,22316,2021-12-21 17:50:18,2021-12-2220:26:28,,0,8
5767,668,3181,2024-08-22 07:56:35,2024-09-1208:28:40,,0,1
43530,1138,25786,2024-08-31 14:47:09,2024-10-1812:00:02,2024-09-2310:09:42,1,8
58972,1174,32901,2024-05-25 13:50:45,2024-08-2019:57:26,2024-06-1708:43:47,1,8
12435,137,6987,2021-04-08 21:54:23,2021-05-0711:33:23,,0,2
94871,656,53016,2023-12-08 09:50:23,2024-01-0911:31:09,,0,18
23031,1186,13634,2023-10-18 13:31:51,2024-01-0216:55:08,2023-12-0917:13:53,2,5
49656,1201,28799,2024-07-02 14:05:54,2024-07-0715:47:36,,0,8
60626,888,33678,2021-03-08 08:39:21,2021-03-2017:58:24,,0,9
60092,550,33296,2024-03-31 21:56:50,2024-05-1513:32:50,,0,9
98526,834,55317,2022-03-21 13:15:34,2022-05-0218:00:13,,0,18
7491,91,4159,2022-03-25 14:59:04,2022-04-1707:54:35,2022-05-1511:22:13,1,1
30037,677,18461,2023-09-18 09:31:23,2023-09-2909:52:21,,0,6
81636,159,45497,2022-02-22 21:28:52,2022-03-0915:03:23,2021-12-1020:57:45,0,13
39791,769,24336,2021-04-11 16:35:15,2021-04-1811:16:12,,0,8
100084,960,56360,2021-11-25 16:08:35,2021-12-2413:58:48,2021-12-1518:55:52,1,18
80171,247,44752,2020-08-17 19:54:57,2020-08-1816:27:56,,0,13
84620,67,47408,2020-09-16 10:44:56,2020-09-2714:01:49,,0,18
12653,1087,7145,2023-02-17 15:55:38,2023-02-2813:50:44,,0,2
29593,1299,18148,2022-09-24 15:12:50,2022-09-2422:36:51,,0,6
28309,223,17231,2022-03-20 16:05:47,2022-04-2213:01:00,2023-12-2608:52:12,0,6
80039,1310,44674,2020-07-21 14:31:27,2020-10-1911:43:59,2020-09-1019:19:42,2,13
54786,673,30763,2024-08-20 18:10:57,2024-08-2115:51:46,,0,8
6382,943,3393,2020-10-26 11:13:44,2021-03-0408:09:16,2020-11-3016:00:01,1,1
94567,401,53142,2022-02-17 19:03:11,2022-02-2510:34:09,,0,18
53523,769,30904,2020-11-03 20:12:43,2020-11-2710:12:58,,0,8
31454,360,19528,2021-07-22 15:03:13,2021-07-3016:23:41,,0,7
50401,31,29609,2021-12-24 08:30:08,2022-02-2112:07:00,,0,8
80337,440,44858,2024-11-14 11:16:01,,2024-12-1213:59:33,1,13
102438,888,58215,2022-02-24 18:58:30,2022-05-0313:39:07,,0,21
25757,290,15409,2020-12-24 20:42:34,2021-01-0317:33:30,,0,5
6786,1014,3793,2023-12-09 14:11:49,2024-03-2320:39:55,2024-02-2022:18:11,2,1
3146,702,1857,2024-06-02 16:11:21,2024-06-0813:08:19,,0,1
8234,311,4603,2024-03-22 11:05:38,2024-05-0719:57:48,2024-04-1409:35:27,1,1
79515,1131,44391,2024-12-01 20:22:05,,2024-12-2915:02:24,1,13
29075,850,17756,2021-07-01 16:55:50,2021-07-0516:51:21,,0,6
101068,287,57205,2024-01-08 21:50:07,2024-03-0716:40:50,,0,18
69208,194,39301,2023-12-04 16:20:02,2023-12-0915:25:38,,0,10
79793,1446,44544,2024-10-15 20:44:47,2024-10-2419:22:10,,0,13
41248,502,25531,2023-03-18 21:52:32,2023-03-1921:47:38,,0,8
31110,8,19272,2021-07-05 12:33:42,2021-08-2514:29:56,2024-03-1915:20:48,0,7
62029,1308,34368,2020-11-12 18:26:40,2020-11-2818:10:43,,0,9
91415,1369,51398,2024-06-21 15:56:47,2024-08-3014:12:09,2024-08-2222:10:53,1,18
61582,1269,34101,2022-01-09 11:37:52,2022-02-1521:53:20,,0,9
54391,363,30713,2020-11-29 09:21:37,2021-01-1008:38:18,2020-12-2116:49:18,1,8
73968,313,42118,2022-08-30 17:09:37,2022-11-2815:35:34,2022-10-2016:45:14,2,13
56345,560,31660,2024-10-14 15:57:14,2024-11-1511:22:33,,0,8
80405,222,44887,2021-05-20 20:11:50,2021-07-1121:08:42,2021-06-1715:34:01,1,13
7439,1269,4119,2021-07-02 18:11:20,2021-07-1808:25:03,,0,1
34324,1000,21558,2022-03-06 13:09:11,2022-03-2709:12:41,,0,8
76878,37,43182,2021-11-02 17:15:41,2021-11-2513:02:58,2021-12-1308:25:55,0,13
44080,911,26181,2020-11-09 12:42:05,2021-03-1914:24:48,2021-01-0508:27:40,2,8
11444,1112,6148,2022-12-13 12:14:42,2023-03-2209:52:45,2023-02-2219:38:07,1,2
71208,165,40691,2021-04-30 20:01:47,2021-05-1311:48:21,,0,10
61532,953,34101,2021-01-18 15:24:10,2021-04-2315:47:19,2021-03-1809:25:24,1,9
71590,365,40929,2024-04-11 19:23:18,2024-04-1121:56:02,,0,12
15003,786,8633,2020-10-29 17:13:58,2021-01-2215:16:58,2020-12-2509:11:02,2,3
89514,912,50287,2021-04-23 12:41:34,2021-10-2121:34:40,2021-06-1419:54:41,2,18
85101,1,47718,2021-03-18 16:50:39,2021-05-1111:18:49,2021-04-1507:35:43,1,18
659,911,329,2020-09-14 17:24:49,2020-09-2118:46:34,,0,1
10519,575,5937,2023-04-06 22:02:20,2023-05-0815:34:25,,0,2
35780,357,22576,2023-03-04 12:41:42,2023-03-0412:49:14,,0,8
77912,384,43664,2023-11-11 13:47:46,2024-01-1116:17:23,2024-01-0421:58:26,2,13
37117,82,23334,2020-01-14 20:29:30,2020-09-2308:27:54,,0,8
74604,378,42405,2022-02-13 11:48:57,2022-02-2412:46:31,,0,13
7490,91,4159,2022-04-17 07:54:58,2022-06-2217:59:18,2022-05-1511:22:13,1,1
46228,968,27193,2022-09-11 19:25:45,2022-09-2220:23:30,,0,8
97770,99,54949,2020-11-24 17:56:05,2021-01-1910:44:08,2021-01-1500:24:26,2,18
29217,1331,17858,2024-10-07 17:50:09,2024-10-1719:05:48,,0,6
30681,1285,18977,2022-01-11 10:41:14,2022-05-1714:26:09,2022-03-2017:16:58,2,7
34111,878,21441,2021-06-02 15:55:25,2021-08-2812:31:16,,0,8
99792,1,56328,2020-12-02 16:14:27,2021-01-1914:44:20,2020-12-3015:49:42,1,18
12331,1304,6928,2020-01-06 17:36:12,2020-01-1015:57:42,,0,2
47722,200,28451,2021-03-06 12:36:27,2021-03-3108:43:12,2024-08-2412:02:19,0,8
7397,960,4109,2020-11-16 16:13:07,2020-12-0918:18:58,2020-12-0917:20:21,1,1
80981,378,45148,2023-05-28 12:41:08,2023-10-2700:23:32,2023-09-2322:08:26,2,13
45619,343,27493,2022-02-18 09:55:02,2022-05-1514:11:39,2022-03-1823:43:19,1,8
100197,114,56625,2020-11-12 18:01:59,2021-03-2213:54:59,2021-01-0721:41:39,2,18
21877,863,12959,2020-01-14 21:28:28,2020-09-1809:09:28,,0,3
77740,854,43575,2022-01-14 12:03:49,2022-03-1816:39:58,2022-02-1218:07:17,1,13
62200,953,34580,2022-08-09 21:52:31,2023-04-1612:42:16,2023-02-2417:17:47,2,9
74895,531,42340,2024-02-27 11:29:40,2024-03-2611:29:26,,0,13
52137,670,30231,2024-09-02 21:35:17,2024-12-0313:42:27,2024-10-3107:56:30,2,8
13049,1067,7423,2023-06-30 18:25:10,2023-09-2420:06:49,2023-11-2219:36:17,2,2
80233,186,44767,2020-08-27 20:29:23,2020-09-2318:33:23,2024-12-2416:28:39,0,13
101755,823,57725,2020-06-17 15:12:18,2020-09-0815:26:03,2020-08-0909:53:10,2,19
